序号,房源编号,户型,风格,房屋基地面积,建筑面积,房屋占地面积（含花园）,入户朝向,销售状态,抵押状态,房源性质
0,A01,10,西班牙,438.77,714.04,1903.1,北入户,甲控,,新房
1,A02,9,意大利,369.76,537.67,1587.71,北入户,已售,,
2,A03,8,法兰西,311.92,525.33,1503.65,北入户,甲控,,二手房
3,A05,1,西班牙,221.94,373.59,1582.17,北入户,已售,,
4,A06,4,意大利,221,364.3,1062.18,北入户,已售,,
5,A07,2,西班牙,219.32,362.31,1135.47,北入户,已售,,
6,A08,4,法兰西,221,364.3,1112.19,北入户,甲控,,新房
7,A09,3,西班牙,218,368.45,1095.52,北入户,已售,,
8,A10,3,法兰西,218,368.45,1019.82,北入户,已售,,
9,A11,1,意大利,224.06,372.41,1314.71,北入户,已售,,
10,A12,7,意大利,309.77,498.97,1666.62,南入户,已售,,
11,A13,6,法兰西,292.9,474.34,1682.13,南入户,甲控,,二手房
12,A15,2,意大利,219.32,358.17,875.6,北入户,已售,,
13,A16,6,意大利,296.22,476.41,1352.82,南入户,可售,,新房
14,A17,5,法兰西,243.21,404.06,966.77,南入户,可售,,新房
15,A18,6,西班牙,292.9,479.82,1145.88,南入户,甲控,,新房
16,A19,8,西班牙,312.65,513.09,1386.42,北入户,已售,,
17,A20,3,意大利,218,364.89,1005.79,北入户,甲控,,二手房
18,A21,2,法兰西,219.32,363.39,1031.89,北入户,甲控,,新房
19,A22,3,西班牙,218,368.45,1023.16,北入户,已售,,
20,A23,4,法兰西,221,364.3,885.08,北入户,已售,,
21,A25,5,西班牙,243.44,415.15,1355.22,南入户,已售,,
22,A26,3,法兰西,218,368.45,981.36,北入户,已售,,
23,A27,4,意大利,221,364.3,857.42,北入户,已售,,
24,A28,1,意大利,224.06,372.41,1345.2,南入户,甲控,,新房
25,A29,7,西班牙,309.77,505.73,1530.5,南入户,已售,,
26,A30,1,法兰西,221.94,373.7,1136.29,南入户,已售,,
27,A31,1,意大利,224.06,372.41,1081.39,南入户,可售,在押,新房
28,A32,1,西班牙,221.94,373.59,1113.35,南入户,已售,,
29,A33,6,意大利,296.22,476.41,1138.06,南入户,可售,在押,新房
30,A35,1,西班牙,221.94,373.59,1051.99,南入户,可售,在押,新房
31,A36,1,法兰西,221.94,373.7,1004.13,南入户,可售,在押,新房
32,B01,9,西班牙,362.37,533.07,1597.64,北入户,可售,,新房
33,B02,10,法兰西,438.77,710.18,2383.09,北入户,已售,,
34,B03,3,意大利,218,364.89,1115.13,北入户,已售,,
35,B05,4,西班牙,221,364.3,1063.57,北入户,可售,在押,新房
36,B06,6,法兰西,292.9,474.34,1371.12,北入户,已售,,
37,B07,10,西班牙,438.77,714.04,2127.06,北入户,甲控,,新房
38,B08,6,意大利,296.22,476.41,1205.01,北入户,已售,,
39,B09,5,西班牙,243.44,415.15,970.02,北入户,甲控,,新房
40,B10,1,法兰西,221.94,373.7,1062.56,北入户,已售,,
41,B11,4,意大利,221,364.3,998.79,北入户,甲控,,新房
42,B12,8,法兰西,311.92,525.33,1365.11,北入户,已售,,
43,B13,1,法兰西,221.94,373.7,1220.8,南入户,可售,,新房
44,B15,1,意大利,224.06,372.41,1087.38,南入户,可售,在押,新房
45,B16,6,法兰西,292.9,474.34,1144.07,南入户,可售,在押,新房
46,B17,1,意大利,224.06,372.41,1099.54,南入户,可售,在押,新房
47,B18,1,西班牙,221.94,373.59,1137.2,南入户,新售,,
48,B19,6,意大利,296.22,476.41,1225.13,南入户,新售,,
49,B20,5,意大利,243.44,428.22,1035.54,北入户,甲控,,新房
50,B21,2,西班牙,219.32,362.31,1021.83,北入户,甲控,,新房
51,B22,4,法兰西,221,364.3,875.67,北入户,已售,,
52,B23,3,法兰西,218,368.45,928.34,北入户,已售,,
53,B25,3,西班牙,218,368.45,224.98,北入户,甲控,,新房
54,B26,4,意大利,221,364.3,820.73,北入户,可售,在押,新房
55,B27,2,法兰西,219.32,363.39,835.17,北入户,可售,在押,新房
56,B28,7,西班牙,309.77,505.73,1299.5,南入户,已售,,
57,B29,1,意大利,224.06,372.41,1121.75,南入户,已售,,
58,B30,6,西班牙,292.9,479.82,1373.27,南入户,甲控,,新房
59,B31,1,法兰西,221.94,373.7,1314.03,南入户,已售,,
60,B32,5,西班牙,243.44,415.15,1079.85,南入户,可售,在押,新房
61,B33,6,法兰西,292.9,474.34,1294.36,南入户,可售,在押,新房
62,B35,4,西班牙,221,364.3,1177.52,北入户,已售,,
63,B36,6,意大利,296.22,476.41,1149.98,北入户,已售,,
64,B37,2,西班牙,219.32,362.31,1040.23,北入户,已售,,
65,B38,3,法兰西,218,368.45,1001.33,北入户,已售,,
66,B39,4,法兰西,221,364.3,930.99,北入户,新售,,新房
67,B50,3,西班牙,218,368.45,1043.48,北入户,新售,,新房
68,B51,6,意大利,296.22,476.41,1183.37,北入户,可售,,新房
69,B52,1,法兰西,221.94,373.7,1546.16,北入户,已售,,
70,B53,1,西班牙,221.94,373.59,1279.95,南入户,新售,,
71,B55,6,意大利,296.22,476.41,1258.67,南入户,可售,,新房
72,B56,5,法兰西,243.21,404.06,1044.92,南入户,可售,,新房
73,B57,1,西班牙,221.94,373.59,1062.48,南入户,已售,,
74,B58,1,意大利,224.06,372.41,1077.66,南入户,已售,,
75,C01,7,法兰西,291.66,488.27,1280.34,北入户,可售,在押,新房
76,C02,2,西班牙,219.32,362.31,907.78,北入户,新售,,
77,C03,4,意大利,221,364.3,912.11,北入户,已售,,
78,C05,3,西班牙,218,368.45,928.83,北入户,已售,,
79,C06,2,法兰西,219.32,363.39,877.95,北入户,可售,,新房
80,C07,10,西班牙,438.77,714.04,1916.32,北入户,已售,,
81,C08,9,法兰西,369.76,549.53,1344.52,北入户,新售,,
82,C09,1,意大利,224.06,372.41,1018.67,南入户,新售,,
83,C10,1,西班牙,221.94,373.59,1056.36,南入户,可售,,新房
84,C11,1,法兰西,221.94,373.7,1067.61,南入户,甲控,,新房
85,C12,1,意大利,224.06,372.41,1192.43,南入户,已售,,
86,C13,4,意大利,221,364.3,910.35,北入户,新售,,新房
87,C15,2,法兰西,219.32,363.39,885.66,北入户,新售,,
88,C16,3,意大利,218,364.89,923.68,北入户,已售,,
89,C17,4,法兰西,221,364.3,848.55,北入户,新售,,新房
90,C18,10,意大利,438.77,710.18,1571.06,北入户,新售,,
91,C19,5,法兰西,243.21,404.06,1193.93,南入户,新售,,
92,C20,6,西班牙,292.9,479.82,1144.66,南入户,可售,,新房
93,C21,1,意大利,224.06,372.41,1072.1,南入户,新售,,
94,C22,1,西班牙,221.94,373.59,1044.68,南入户,新售,,
95,C23,1,法兰西,221.94,373.7,1079.46,南入户,新售,,
96,C25,3,西班牙,218,368.45,1095.39,北入户,可售,,新房
97,C26,6,意大利,296.22,476.41,1291.42,北入户,可售,,新房
98,C27,3,法兰西,218,368.45,936.47,北入户,已售,,
99,C28,4,西班牙,221,364.3,785.19,北入户,可售,,新房
100,D01,8,法兰西,311.92,525.33,1513.75,北入户,已售,,
101,D02,2,西班牙,219.32,362.31,807.91,北入户,甲控,,新房
102,D03,3,意大利,218,364.89,903.27,北入户,已售,,
103,D05,4,法兰西,221,364.3,792.73,北入户,可售,,新房
104,D06,6,意大利,296.22,476.41,994.68,北入户,可售,,新房
105,D07,9,西班牙,362.37,533.07,1419.13,北入户,甲控,,新房
106,D08,4,意大利,221,364.3,1045.95,北入户,甲控,,新房
107,D09,2,法兰西,219.32,363.39,1003.66,北入户,已售,,
108,D10,6,西班牙,292.9,479.82,1547.55,南入户,可售,,新房
109,D11,5,法兰西,243.21,404.06,984.56,南入户,可售,,新房
110,D12,1,西班牙,221.94,373.59,1176.49,南入户,可售,,新房
111,D13,6,法兰西,292.9,474.34,1322.8,南入户,新售,,
112,D15,5,意大利,243.44,428.22,1541.59,南入户,甲控,,新房
113,D16,3,西班牙,218,368.45,1350.64,北入户,甲控,,新房
114,D17,5,法兰西,243.21,404.06,1032.41,北入户,可售,,二手房
115,D18,4,西班牙,221,364.3,905.92,北入户,可售,,二手房
116,D19,2,意大利,219.32,358.17,1014.21,北入户,已售,,
117,D20,4,法兰西,221,364.3,954.51,北入户,已售,,
118,D21,8,西班牙,312.65,513.09,1370.44,北入户,已售,,
119,D22,5,意大利,243.44,428.22,1154.93,南入户,可售,,二手房
120,D23,6,西班牙,292.9,479.82,1125.31,南入户,可售,,新房
121,D25,1,法兰西,221.94,373.7,1031.53,南入户,新售,,
122,D26,5,西班牙,243.44,415.15,1061.74,南入户,可售,,二手房
123,D27,9,意大利,369.76,537.67,1437.97,北入户,已售,,
124,D28,3,法兰西,218,368.45,1787.89,北入户,已售,,
125,D29,10,意大利,438.77,710.18,1703.76,北入户,已售,,
126,E01,2,法兰西,219.32,363.39,3143.33,北入户,已售,,
127,E02,3,意大利,218,364.89,1722.67,北入户,甲控,,新房
128,E03,3,法兰西,218,368.45,1539.29,北入户,已售,,
129,E05,1,西班牙,221.94,373.59,1609.52,北入户,已售,,
130,E06,1,法兰西,221.94,373.7,1431.24,北入户,已售,,
131,E07,3,西班牙,218,368.45,1368.75,北入户,已售,,
132,E08,2,意大利,219.32,358.17,1653.66,北入户,已售,,
133,E09,9,西班牙,362.37,533.07,2708.38,北入户,已售,,
134,E10,1,意大利,224.06,372.41,1423.97,北入户,已售,,
135,E11,1,西班牙,221.94,373.59,1035.39,北入户,可售,,新房
136,E12,1,法兰西,221.94,373.7,960.11,北入户,可售,,新房
137,E13,1,意大利,224.06,372.41,1005.72,北入户,可售,,新房
138,E15,8,西班牙,312.65,513.09,1713.54,北入户,已售,,
139,E16,3,意大利,218,364.89,957.99,北入户,甲控,,新房
140,E17,1,法兰西,221.94,373.7,978.6,北入户,已售,,
141,E18,6,西班牙,292.9,479.82,1070.38,北入户,已售,,
142,E19,10,意大利,438.77,710.18,1590.5,北入户,可售,,二手房
143,E20,7,法兰西,291.66,488.27,1586.19,南入户,可售,在押,新房
144,E21,5,西班牙,243.44,415.15,986.35,南入户,可售,,新房
145,E22,6,法兰西,292.9,474.34,1164.74,南入户,甲控,,新房
146,E23,1,意大利,224.06,372.41,995.45,南入户,可售,,新房
147,E25,5,法兰西,243.21,404.06,916.04,南入户,可售,,二手房
148,E26,6,西班牙,292.9,479.82,1159.25,南入户,可售,在押,新房
149,E27,7,意大利,309.77,498.97,1278.76,南入户,已售,,
150,E28,4,西班牙,221,364.3,1210.94,北入户,甲控,,新房
151,E29,3,意大利,218,364.89,980.8,北入户,已售,,
152,E30,2,西班牙,219.32,362.31,961.13,北入户,甲控,,新房
153,E31,4,法兰西,221,364.3,"928,64",北入户,已售,,
154,E32,3,西班牙,218,368.45,984.07,北入户,已售,,
155,E33,2,意大利,219.32,358.17,932.11,北入户,已售,,
156,E35,3,法兰西,218,368.45,957.98,北入户,可售,在押,新房
157,E36,6,法兰西,292.9,474.34,1567.54,南入户,可售,,二手房
158,E37,5,意大利,243.44,428.22,1112.41,南入户,可售,,二手房
159,E38,6,西班牙,292.9,479.82,1256.71,南入户,可售,,二手房
160,E39,1,法兰西,221.94,373.7,1234.3,南入户,已售,,
161,E50,5,西班牙,243.44,415.15,1061.72,南入户,可售,,二手房
162,E51,1,意大利,224.06,372.41,1052.81,南入户,甲控,,新房
163,G01,8,法兰西,311.92,525.33,2023.29,北入户,已售,,
164,G02,8,西班牙,312.65,513.09,1686.17,北入户,甲控,,新房
165,G03,1,意大利,224.06,372.41,1561.64,北入户,已售,,
166,G05,3,法兰西,218,368.45,1027.25,北入户,已售,,
167,G06,3,西班牙,218,368.45,1086.82,北入户,已售,,
168,G07,3,意大利,218,364.89,1046.54,北入户,已售,,
169,G08,1,法兰西,221.94,373.7,1236.18,北入户,甲控,,新房
170,G09,3,法兰西,218,368.45,1009.48,北入户,已售,,
171,G10,1,西班牙,221.94,373.59,1189.98,北入户,已售,,
172,G11,1,意大利,224.06,372.41,1094.15,北入户,已售,,
173,G12,3,法兰西,218,368.45,1372.5,北入户,已售,,
